province,province_key,month_num,mean_occupancy,seasonality_score
Al-Baha,al baha,1,0.2641008965743317,0.03924183119391802
Al-Baha,al baha,2,0.26145096952690233,0.03145978110508903
Al-Baha,al baha,3,0.2564793323725746,0.016859556772123616
Al-Baha,al baha,4,0.2507383521696517,0.0
Al-Baha,al baha,5,0.3498983624074274,0.29120355114218605
Al-Baha,al baha,6,0.39070660701034116,0.41104526672644215
Al-Baha,al baha,7,0.5912562127824119,1.0
Al-Baha,al baha,8,0.5471497611717172,0.8704724282851849
Al-Baha,al baha,9,0.2998743942177542,0.14429798765821694
Al-Baha,al baha,10,0.2624553223188745,0.034409267484936515
Al-Baha,al baha,11,0.28879837612171044,0.11177100632422021
Al-Baha,al baha,12,0.2591635397290192,0.024742277965115876
Al-Jouf,al jouf,1,0.4269249448453307,0.7416132249339945
Al-Jouf,al jouf,2,0.44892986195369355,1.0
Al-Jouf,al jouf,3,0.43248285772164996,0.8068755105012588
Al-Jouf,al jouf,4,0.3637671553765414,0.0
Al-Jouf,al jouf,5,0.40829403729056146,0.522844842580026
Al-Jouf,al jouf,6,0.39620872991164346,0.3809363962113157
Al-Jouf,al jouf,7,0.3971317335275438,0.39177451600573676
Al-Jouf,al jouf,8,0.432988723868267,0.8128155066210244
Al-Jouf,al jouf,9,0.4470696580769104,0.9781570601552227
Al-Jouf,al jouf,10,0.4453989710974877,0.9585394711121931
Al-Jouf,al jouf,11,0.43926708906445666,0.8865375082873509
Al-Jouf,al jouf,12,0.4101703368521368,0.5448767816409985
Al-Madinah Al-Monawarah,al madinah al monawarah,1,0.557534916155512,0.7211222863899317
Al-Madinah Al-Monawarah,al madinah al monawarah,2,0.5498784420699139,0.6688125816396977
Al-Madinah Al-Monawarah,al madinah al monawarah,3,0.5263978980434689,0.5083914384781774
Al-Madinah Al-Monawarah,al madinah al monawarah,4,0.4892419632707906,0.25453882225451496
Al-Madinah Al-Monawarah,al madinah al monawarah,5,0.4807571595484475,0.19656989653003346
Al-Madinah Al-Monawarah,al madinah al monawarah,6,0.4621203283816765,0.06924142589006616
Al-Madinah Al-Monawarah,al madinah al monawarah,7,0.5227756252229129,0.48364375179502156
Al-Madinah Al-Monawarah,al madinah al monawarah,8,0.48206033912413565,0.20547333407565369
Al-Madinah Al-Monawarah,al madinah al monawarah,9,0.4519855897990661,0.0
Al-Madinah Al-Monawarah,al madinah al monawarah,10,0.5116891215464626,0.4078997830250688
Al-Madinah Al-Monawarah,al madinah al monawarah,11,0.5925766441771637,0.9605304560327352
Al-Madinah Al-Monawarah,al madinah al monawarah,12,0.5983537278368528,1.0
Al-Qaseem,al qaseem,1,0.4746967232855935,0.9225119300687455
Al-Qaseem,al qaseem,2,0.4496959630954157,0.7100194515550116
Al-Qaseem,al qaseem,3,0.4011169890895756,0.29712534307063215
Al-Qaseem,al qaseem,4,0.3661587660950941,0.0
Al-Qaseem,al qaseem,5,0.4265304749339593,0.513125758804726
Al-Qaseem,al qaseem,6,0.4011668890007112,0.2975494644059098
Al-Qaseem,al qaseem,7,0.44983043783302623,0.711162411612025
Al-Qaseem,al qaseem,8,0.4813704814883534,0.979235142111832
Al-Qaseem,al qaseem,9,0.4549703284333724,0.7548486069376412
Al-Qaseem,al qaseem,10,0.440111183050413,0.6285541820080572
Al-Qaseem,al qaseem,11,0.4838135667028338,1.0
Al-Qaseem,al qaseem,12,0.44882798842037364,0.7026421522815557
Al-Riyadh,al riyadh,1,0.7025649830210257,0.8133421518394306
Al-Riyadh,al riyadh,2,0.6850883094927576,0.7514284864805807
Al-Riyadh,al riyadh,3,0.6186312223823964,0.5159945610588139
Al-Riyadh,al riyadh,4,0.47297891067189485,0.0
Al-Riyadh,al riyadh,5,0.6034524721088201,0.4622216240360049
Al-Riyadh,al riyadh,6,0.6040491948329755,0.46433560133240614
Al-Riyadh,al riyadh,7,0.6034503324689093,0.462214044049504
Al-Riyadh,al riyadh,8,0.6425147156787306,0.6006053200317837
Al-Riyadh,al riyadh,9,0.6611819854039284,0.6667368460947881
Al-Riyadh,al riyadh,10,0.7146134219608671,0.8560255043327585
Al-Riyadh,al riyadh,11,0.7552538079336508,1.0
Al-Riyadh,al riyadh,12,0.7254378605870265,0.8943726571655584
Aseer,aseer,1,0.3143070099807741,0.13306375199782564
Aseer,aseer,2,0.3120786931566999,0.1242085542409006
Aseer,aseer,3,0.28735942673019943,0.0259756682132495
Aseer,aseer,4,0.28082292465706526,0.0
Aseer,aseer,5,0.3792857115628881,0.39128522494160073
Aseer,aseer,6,0.3834417561635067,0.4078010975623481
Aseer,aseer,7,0.5324623442659155,1.0
Aseer,aseer,8,0.5144906060887479,0.9285813875858439
Aseer,aseer,9,0.3470866011026237,0.26332788618158093
