month,city,city_key,sector,sector_key,place_group,transaction_value_thousand_sar,transaction_count_thousand,lag_1,lag_3,lag_12,rolling_3,rolling_6,month_num,month_sin,month_cos,year
2020-05-01,Total,total,Hotels,hotels,accommodation,123043.57091346549,0.0,,,,,,5,0.49999999999999994,-0.8660254037844387,2020
2020-06-01,Total,total,Hotels,hotels,accommodation,285001.1266354485,0.0,123043.57091346549,,,123043.57091346549,123043.57091346549,6,1.2246467991473532e-16,-1.0,2020
2020-07-01,Total,total,Hotels,hotels,accommodation,457262.9386757896,0.0,285001.1266354485,,,204022.348774457,204022.348774457,7,-0.4999999999999997,-0.8660254037844388,2020
2020-08-01,Total,total,Hotels,hotels,accommodation,710278.435571968,0.0,457262.9386757896,123043.57091346549,,288435.8787415679,288435.8787415679,8,-0.8660254037844384,-0.5000000000000004,2020
2020-09-01,Total,total,Hotels,hotels,accommodation,517832.671389684,0.0,710278.435571968,285001.1266354485,,484180.8336277353,393896.5179491679,9,-1.0,-1.8369701987210297e-16,2020
2020-10-01,Total,total,Hotels,hotels,accommodation,521469.0891539189,0.0,517832.671389684,457262.9386757896,,561791.3485458138,418683.7486372711,10,-0.8660254037844386,0.5000000000000001,2020
2020-11-01,Total,total,Hotels,hotels,accommodation,723888.8756976468,0.0,521469.0891539189,710278.435571968,,583193.3987051903,435814.63872337906,11,-0.5000000000000004,0.8660254037844384,2020
2020-12-01,Total,total,Hotels,hotels,accommodation,646347.2846199234,0.0,723888.8756976468,517832.671389684,,587730.2120804166,535955.5228540759,12,-2.4492935982947064e-16,1.0,2020
2021-01-01,Total,total,Hotels,hotels,accommodation,987215.5759811581,0.0,646347.2846199234,521469.0891539189,,630568.4164904963,596179.8825181552,1,0.49999999999999994,0.8660254037844387,2021
2021-02-01,Total,total,Hotels,hotels,accommodation,458307.0652071734,0.0,987215.5759811581,723888.8756976468,,785817.2454329095,684505.3220690498,2,0.8660254037844386,0.5000000000000001,2021
2021-03-01,Total,total,Hotels,hotels,accommodation,549268.4538587007,0.0,458307.0652071734,646347.2846199234,,697289.9752694183,642510.0936749175,3,1.0,6.123233995736766e-17,2021
2021-04-01,Total,total,Hotels,hotels,accommodation,507272.18169946247,0.0,549268.4538587007,987215.5759811581,,664930.3650156773,647749.3907530869,4,0.8660254037844387,-0.4999999999999998,2021
2021-05-01,Total,total,Hotels,hotels,accommodation,974288.0696782939,0.0,507272.18169946247,458307.0652071734,123043.57091346549,504949.23358844547,645383.2395106774,5,0.49999999999999994,-0.8660254037844387,2021
2021-06-01,Total,total,Hotels,hotels,accommodation,794349.316243743,0.0,974288.0696782939,549268.4538587007,285001.1266354485,676942.9017454856,687116.438507452,6,1.2246467991473532e-16,-1.0,2021
2021-07-01,Total,total,Hotels,hotels,accommodation,754226.5846652145,0.0,794349.316243743,507272.18169946247,457262.9386757896,758636.5225404998,711783.4437780887,7,-0.4999999999999997,-0.8660254037844388,2021
2021-08-01,Total,total,Hotels,hotels,accommodation,924255.5229660092,0.0,754226.5846652145,974288.0696782939,710278.435571968,840954.6568624171,672951.9452254314,8,-0.8660254037844384,-0.5000000000000004,2021
2021-09-01,Total,total,Hotels,hotels,accommodation,637773.9390084317,0.0,924255.5229660092,794349.316243743,517832.671389684,824277.1412916555,750610.0215185707,9,-1.0,-1.8369701987210297e-16,2021
2021-10-01,Total,total,Hotels,hotels,accommodation,910949.5411344885,0.0,637773.9390084317,754226.5846652145,521469.0891539189,772085.348879885,765360.9357101925,10,-0.8660254037844386,0.5000000000000001,2021
2021-11-01,Total,total,Hotels,hotels,accommodation,890290.8919685611,0.0,910949.5411344885,924255.5229660092,723888.8756976468,824326.334369643,832640.4956160303,11,-0.5000000000000004,0.8660254037844384,2021
2021-12-01,Total,total,Hotels,hotels,accommodation,781166.5064726354,0.0,890290.8919685611,637773.9390084317,646347.2846199234,813004.790703827,818640.9659977414,12,-2.4492935982947064e-16,1.0,2021
2022-01-01,Total,total,Hotels,hotels,accommodation,1026422.5118219554,0.0,781166.5064726354,910949.5411344885,987215.5759811581,860802.3131918949,816443.8310358902,1,0.49999999999999994,0.8660254037844387,2022
2022-02-01,Total,total,Hotels,hotels,accommodation,800549.5817128145,0.0,1026422.5118219554,890290.8919685611,458307.0652071734,899293.3034210507,861809.818895347,2,0.8660254037844386,0.5000000000000001,2022
2022-03-01,Total,total,Hotels,hotels,accommodation,1040219.3658587027,0.0,800549.5817128145,781166.5064726354,549268.4538587007,869379.5333358017,841192.1620198144,3,1.0,6.123233995736766e-17,2022
2022-04-01,Total,total,Hotels,hotels,accommodation,1240419.8496339554,0.0,1040219.3658587027,1026422.5118219554,507272.18169946247,955730.4864644908,908266.3998281929,4,0.8660254037844387,-0.4999999999999998,2022
2022-05-01,Total,total,Hotels,hotels,accommodation,1106236.3098794061,0.0,1240419.8496339554,800549.5817128145,974288.0696782939,1027062.9324018242,963178.1179114374,5,0.49999999999999994,-0.8660254037844387,2022
2022-06-01,Total,total,Hotels,hotels,accommodation,711925.3719170436,0.0,1106236.3098794061,1040219.3658587027,794349.316243743,1128958.5084573545,999169.0208965783,6,1.2246467991473532e-16,-1.0,2022
2022-07-01,Total,total,Hotels,hotels,accommodation,1105123.8219234296,0.0,711925.3719170436,1240419.8496339554,754226.5846652145,1019527.1771434684,987628.8318039797,7,-0.4999999999999997,-0.8660254037844388,2022
2022-08-01,Total,total,Hotels,hotels,accommodation,1071905.584922364,0.0,1105123.8219234296,1106236.3098794061,924255.5229660092,974428.5012399597,1000745.716820892,8,-0.8660254037844384,-0.5000000000000004,2022
2022-09-01,Total,total,Hotels,hotels,accommodation,843970.2001238222,0.0,1071905.584922364,711925.3719170436,637773.9390084317,962984.926254279,1045971.717355817,9,-1.0,-1.8369701987210297e-16,2022
2022-10-01,Total,total,Hotels,hotels,accommodation,1173121.4390688764,0.0,843970.2001238222,1105123.8219234296,910949.5411344885,1006999.8689898718,1013263.5230666702,10,-0.8660254037844386,0.5000000000000001,2022
2022-11-01,Total,total,Hotels,hotels,accommodation,1128272.5856380563,0.0,1173121.4390688764,1071905.584922364,890290.8919685611,1029665.7413716875,1002047.1213058237,11,-0.5000000000000004,0.8660254037844384,2022
2022-12-01,Total,total,Hotels,hotels,accommodation,1079018.2468255078,0.0,1128272.5856380563,843970.2001238222,781166.5064726354,1048454.7416102517,1005719.8339322653,12,-2.4492935982947064e-16,1.0,2022
2023-01-01,Total,total,Hotels,hotels,accommodation,1369118.343388618,0.0,1079018.2468255078,1173121.4390688764,1026422.5118219554,1126804.0905108135,1066901.979750343,1,0.49999999999999994,0.8660254037844387,2023
2023-02-01,Total,total,Hotels,hotels,accommodation,1245091.141731435,0.0,1369118.343388618,1128272.5856380563,800549.5817128145,1192136.3919507274,1110901.0666612075,2,0.8660254037844386,0.5000000000000001,2023
2023-03-01,Total,total,Hotels,hotels,accommodation,1295561.192196356,0.0,1245091.141731435,1079018.2468255078,1040219.3658587027,1231075.9106485203,1139765.326129386,3,1.0,6.123233995736766e-17,2023
2023-04-01,Total,total,Hotels,hotels,accommodation,1561328.3253487523,0.0,1295561.192196356,1369118.343388618,1240419.8496339554,1303256.892438803,1215030.4914748082,4,0.8660254037844387,-0.4999999999999998,2023
2023-05-01,Total,total,Hotels,hotels,accommodation,991142.1033371675,0.0,1561328.3253487523,1245091.141731435,1106236.3098794061,1367326.8864255145,1279731.6391881208,5,0.49999999999999994,-0.8660254037844387,2023
2023-06-01,Total,total,Hotels,hotels,accommodation,793619.9888555811,0.0,991142.1033371675,1295561.192196356,711925.3719170436,1282677.206960759,1256876.5588046394,6,1.2246467991473532e-16,-1.0,2023
2023-07-01,Total,total,Hotels,hotels,accommodation,1364165.9885623353,0.0,793619.9888555811,1561328.3253487523,1105123.8219234296,1115363.4725138338,1209310.1824763182,7,-0.4999999999999997,-0.8660254037844388,2023
2023-08-01,Total,total,Hotels,hotels,accommodation,1073993.2119019465,0.0,1364165.9885623353,991142.1033371675,1071905.584922364,1049642.693585028,1208484.790005271,8,-0.8660254037844384,-0.5000000000000004,2023
2023-09-01,Total,total,Hotels,hotels,accommodation,997678.5907983596,0.0,1073993.2119019465,793619.9888555811,843970.2001238222,1077259.7297732877,1179968.4683670232,9,-1.0,-1.8369701987210297e-16,2023
2023-10-01,Total,total,Hotels,hotels,accommodation,1387758.3729427923,0.0,997678.5907983596,1364165.9885623353,1173121.4390688764,1145279.263754214,1130321.3681340239,10,-0.8660254037844386,0.5000000000000001,2023
2023-11-01,Total,total,Hotels,hotels,accommodation,1326864.3280758793,0.0,1387758.3729427923,1073993.2119019465,1128272.5856380563,1153143.3918810328,1101393.0427330304,11,-0.5000000000000004,0.8660254037844384,2023
2023-12-01,Total,total,Hotels,hotels,accommodation,1654301.17166687,0.0,1326864.3280758793,997678.5907983596,1079018.2468255078,1237433.7639390104,1157346.746856149,12,-2.4492935982947064e-16,1.0,2023
2024-01-01,Total,total,Hotels,hotels,accommodation,1398221.000113257,0.0,1654301.17166687,1387758.3729427923,1369118.343388618,1456307.957561847,1300793.6106580305,1,0.49999999999999994,0.8660254037844387,2024
2024-02-01,Total,total,Hotels,hotels,accommodation,1462282.6830324305,0.0,1398221.000113257,1326864.3280758793,1245091.141731435,1459795.4999520022,1306469.4459165174,2,0.8660254037844386,0.5000000000000001,2024
2024-03-01,Total,total,Hotels,hotels,accommodation,1701616.2638113964,0.0,1462282.6830324305,1654301.17166687,1295561.192196356,1504934.9516041856,1371184.357771598,3,1.0,6.123233995736766e-17,2024
2024-04-01,Total,total,Hotels,hotels,accommodation,1155176.282620287,0.0,1701616.2638113964,1398221.000113257,1561328.3253487523,1520706.6489856944,1488507.303273771,4,0.8660254037844387,-0.4999999999999998,2024
2024-05-01,Total,total,Hotels,hotels,accommodation,963786.472972973,0.0,1155176.282620287,1462282.6830324305,991142.1033371675,1439691.7431547046,1449743.6215533533,5,0.49999999999999994,-0.8660254037844387,2024
2024-06-01,Total,total,Hotels,hotels,accommodation,1069485.092405433,0.0,963786.472972973,1701616.2638113964,793619.9888555811,1273526.339801552,1389230.645702869,6,1.2246467991473532e-16,-1.0,2024
2024-07-01,Total,total,Hotels,hotels,accommodation,1188579.6763003364,0.0,1069485.092405433,1155176.282620287,1364165.9885623353,1062815.9493328978,1291761.299159296,7,-0.4999999999999997,-0.8660254037844388,2024
2024-08-01,Total,total,Hotels,hotels,accommodation,1050645.4514929487,0.0,1188579.6763003364,963786.472972973,1073993.2119019465,1073950.4138929143,1256821.0785238093,8,-0.8660254037844384,-0.5000000000000004,2024
2024-09-01,Total,total,Hotels,hotels,accommodation,1291888.1651319552,0.0,1050645.4514929487,1069485.092405433,997678.5907983596,1102903.406732906,1188214.8732672292,9,-1.0,-1.8369701987210297e-16,2024
2024-10-01,Total,total,Hotels,hotels,accommodation,1189712.139508131,0.0,1291888.1651319552,1188579.6763003364,1387758.3729427923,1177037.7643084135,1119926.8568206558,10,-0.8660254037844386,0.5000000000000001,2024
2024-11-01,Total,total,Hotels,hotels,accommodation,1392066.9505954855,0.0,1189712.139508131,1050645.4514929487,1326864.3280758793,1177415.252044345,1125682.8329686297,11,-0.5000000000000004,0.8660254037844384,2024
2024-12-01,Total,total,Hotels,hotels,accommodation,1743455.4895315482,0.0,1392066.9505954855,1291888.1651319552,1654301.17166687,1291222.4184118572,1197062.9125723818,12,-2.4492935982947064e-16,1.0,2024
2025-01-01,Total,total,Hotels,hotels,accommodation,1408675.479053075,0.0,1743455.4895315482,1189712.139508131,1398221.000113257,1441744.8598783885,1309391.3120934006,1,0.49999999999999994,0.8660254037844387,2025
